ingredient,default_vol_amt,default_vol_unit,vol_conv_factor_to_cups,target_uom,target_quantity
Sour cream,1,cup,1,grams,227
Sourdough starter,1,cup,1,ounces,8.25
Sourdough starter,1,cup,1,grams,234
Soy flour,0.25,cup,1,ounces,5
Soy flour,0.25,cup,1,grams,140
Sparkling Sugar,0.25,cup,1,ounces,8
Sparkling Sugar,0.25,cup,1,grams,228
Spelt Flour,1,cup,1,ounces,3.5
Spelt Flour,1,cup,1,grams,99
Sprouted Wheat Flour,1,cup,1,ounces,4
Sprouted Wheat Flour,1,cup,1,grams,113
Steel cut oats,0.5,cup,1,ounces,5
Steel cut oats,0.5,cup,1,grams,140
Sticky Bun Sugar,1,cup,1,ounces,3.5
Sticky Bun Sugar,1,cup,1,grams,99
Strawberries (fresh sliced),1,cup,1,ounces,5.875
Strawberries (fresh sliced),1,cup,1,grams,167
Sugar (granulated white),1,cup,1,ounces,7
Sugar (granulated white),1,cup,1,grams,198
Sugar substitute (Splenda),1,cup,1,ounces,0.875
Sugar substitute (Splenda),1,cup,1,grams,25
Sundried tomatoes (dry pack),1,cup,1,ounces,6
Sundried tomatoes (dry pack),1,cup,1,grams,170
Sunflower seeds,0.25,cup,1,ounces,5
Sunflower seeds,0.25,cup,1,grams,140
Super 10 Blend,1,cup,1,ounces,3.75
Super 10 Blend,1,cup,1,grams,106
Swedish Pearl Sugar,0.25,cup,1,ounces,7
